Id,Label,Degree,InDegree,OutDegree,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,PageRank,Community,KCore,Size
231425,User_231425,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
82945,User_82945,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,1,1,5.50251256281407
252417,User_252417,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,2,1,5.251256281407035
110598,User_110598,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
49159,User_49159,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,3,1,5.251256281407035
8,User_8,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006670500778963892,4,2,5.7537688442211055
2567,User_2567,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006449010348570339,5,2,5.7537688442211055
519,User_519,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006670500778963892,4,2,5.7537688442211055
263179,User_263179,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,6,1,5.251256281407035
65544,User_65544,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,7,1,5.251256281407035
36875,User_36875,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,8,1,5.251256281407035
1553,User_1553,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,9,1,5.251256281407035
7698,User_7698,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,10,1,5.251256281407035
75290,User_75290,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
137242,User_137242,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.020592406426679276,12,1,5.50251256281407
251419,User_251419,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,52,1,5.251256281407035
58912,User_58912,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,0,2,5.7537688442211055
60961,User_60961,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,14,1,5.251256281407035
